name,total_experience,num_skills,has_certifications,education_level,target_role
SWE Candidate 1,1,3,0,BS,Software Engineer
SWE Candidate 2,1,3,0,BS,Software Engineer
SWE Candidate 3,1,3,0,BS,Software Engineer
SWE Candidate 4,1,3,0,BS,Software Engineer
SWE Candidate 5,1,3,0,BS,Software Engineer
SWE Candidate 6,1,3,0,BS,Software Engineer
SWE Candidate 7,1,3,0,BS,Software Engineer
SWE Candidate 8,1,3,0,BS,Software Engineer
SWE Candidate 9,1,3,0,BS,Software Engineer
SWE Candidate 10,1,3,0,BS,Software Engineer
DS Candidate 1,2,3,1,MS,Data Scientist
DS Candidate 2,2,3,1,MS,Data Scientist
DS Candidate 3,2,3,1,MS,Data Scientist
DS Candidate 4,2,3,1,MS,Data Scientist
DS Candidate 5,2,3,1,MS,Data Scientist
DS Candidate 6,2,3,1,MS,Data Scientist
DS Candidate 7,2,3,1,MS,Data Scientist
DS Candidate 8,2,3,1,MS,Data Scientist
DS Candidate 9,2,3,1,MS,Data Scientist
DS Candidate 10,2,3,1,MS,Data Scientist
ML Engineer Candidate 1,1,3,1,MS,ML Engineer
ML Engineer Candidate 2,1,3,1,MS,ML Engineer
ML Engineer Candidate 3,1,3,1,MS,ML Engineer
ML Engineer Candidate 4,1,3,1,MS,ML Engineer
ML Engineer Candidate 5,1,3,1,MS,ML Engineer
ML Engineer Candidate 6,1,3,1,MS,ML Engineer
ML Engineer Candidate 7,1,3,1,MS,ML Engineer
ML Engineer Candidate 8,1,3,1,MS,ML Engineer
ML Engineer Candidate 9,1,3,1,MS,ML Engineer
ML Engineer Candidate 10,1,3,1,MS,ML Engineer
Cloud Engineer Candidate 1,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 2,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 3,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 4,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 5,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 6,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 7,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 8,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 9,2,3,1,BS,Cloud Engineer
Cloud Engineer Candidate 10,2,3,1,BS,Cloud Engineer
Applied Scientist Candidate 1,2,3,0,PhD,Applied Scientist
Applied Scientist Candidate 2,2,3,0,PhD,Applied Scientist
Applied Scientist Candidate 3,2,3,0,PhD,Applied Scientist
Applied Scientist Candidate 4,2,3,0,PhD,Applied Scientist
Applied Scientist Candidate 5,2,3,0,PhD,Applied Scientist
